"name","categoryId","categoryName"
"Luna S027C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S027A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S026G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S026E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S026A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S025H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S025B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S024H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S024B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S023H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S023B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S022H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S022B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S021H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S021B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S020H","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S020B","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S007K","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S007C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S007A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S006K","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S006C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S006A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S005G","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S005E","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S005C","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S005A","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Luna S004L","cmmlge0bf00049gu5j9w46wkb","Minimal"
"Iran Soft PR28M","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR28K","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR28H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR28D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR28B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR28A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27Y","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27M","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27L","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27I","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27E","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27C","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR27A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26M","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26L","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26K","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26J","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26I","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26E","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR26A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25W","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25M","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25L","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25J","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25I","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25H","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25E","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25D","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25B","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR25A","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23Y","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23X","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23P","cmmlge0b600029gu54bgm2hfl","Premium"
"Iran Soft PR23M","cmmlge0b600029gu54bgm2hfl","Premium"
